name,artist,album,duration
不遗憾,李荣浩,你的婚礼 电影原声带,05:20
李白,李荣浩,模特,04:33
喜剧之王,李荣浩,李荣浩,04:21
Letting Go,蔡健雅,说到爱,04:23
越来越不懂,蔡健雅,Goodbye & Hello,04:09
红色高跟鞋,蔡健雅,若你碰到他,03:26
失语者,蔡健雅,失语者,03:41
达尔文,蔡健雅,Goodbye & Hello,04:25
被驯服的象,蔡健雅,天使与魔鬼的对话,03:28
思念是一种病,张震岳,OK,04:19
无底洞,蔡健雅,陌生人,04:02
Beautiful Love,蔡健雅,T-TIME 新歌+精选,04:55
空白格,蔡健雅,Goodbye & Hello,04:12
我记得,赵雷,署前街少年,05:29
鼓楼,赵雷,无法长大,04:41
南方姑娘,赵雷,赵小雷,05:32
成都,赵雷,无法长大,05:28
我们的时光,赵雷,吉姆餐厅,04:30
画,赵雷,赵小雷,03:46
朵,赵雷,无法长大,04:52
理想,赵雷,吉姆餐厅,05:13
程艾影,赵雷,署前街少年,05:00
少年锦时,赵雷,吉姆餐厅,05:08
我们的歌,王力宏,改变自己,04:07
大城小爱,王力宏,盖世英雄,03:44
天地龙鳞,王力宏,天地龙鳞,03:16
Can You Feel My World,王力宏,不可思议,04:54
需要人陪,王力宏,十八般武艺,04:11
花田错,王力宏,盖世英雄,03:47
缘分一道桥,王力宏,A.I. 爱,04:06
改变自己,王力宏,改变自己,03:14
你不知道的事,王力宏,十八般武艺,04:38
心跳,王力宏,心·跳,04:23
海阔天空,BEYOND,乐与怒,05:26
光辉岁月,BEYOND,命运派对 - BEYOND,04:58
"灰色轨迹 (电影""天若有情""歌曲)",BEYOND,Control,05:27
真的爱你,BEYOND,BEYOND IV,04:35
"不再犹豫 (电影""Beyond 日记""插曲)",BEYOND,Recognition,04:14
不再犹豫,BEYOND,Deliberate 犹豫 (Remastered 2020),04:12
谁伴我闯荡,BEYOND,Deliberate 犹豫 (Remastered 2020),04:15
冷雨夜,BEYOND,BTB现代舞台- Beyond,04:19
大地 (国语版),BEYOND,精选辑 ENCORE,04:22
大地 (粤语),BEYOND,秘密警察,04:21
要不然我们就这样一万年,黄霄雲,长月烬明 电视剧原声专辑,04:44
星辰大海,黄霄雲,星辰大海,03:27
带我去很远地方,黄霄雲,带我去很远地方,04:09
蝴蝶夫人,黄霄雲,蝴蝶夫人,03:25
左手指月 (纯享版),黄霄雲,梦想的声音第三季 纯享版,03:05
连名带姓 (Live),黄霄雲,歌手·当打之年 第5期,04:55
烟火里的尘埃,黄霄雲,打开,05:32
打开,黄霄雲,梦想的声音第三季 第9期,03:05
左手指月 (Live),黄霄雲,歌手·当打之年 第11期,05:23
花开忘忧,周深,花开忘忧,04:12
若梦,周深,若梦,04:04
光亮,周深,光亮,04:48
铃芽之旅,周深,铃芽之旅,03:57
Heart Of Peace,ZHANGYE,Heart Of Peace,03:46
大鱼,周深,大鱼,05:13
起风了,周深,起风了,05:11
如愿 (Live),周深,一期一会《未闻花名》,05:51
一期一会《未闻花名》,周深,有我,04:03
带我去找夜生活,告五人,带我去找夜生活,04:59
爱人错过,告五人,我肯定在几百年前就说过爱你,04:52
给你一瓶魔法药水,告五人,玫瑰凭证,04:18
唯一,告五人,运气来得若有似无,04:30
披星戴月的想你,告五人,披星戴月的想你,05:49
爱在夏天,告五人,爱在夏天,06:20
温蒂公主的侍卫,告五人,运气来得若有似无,04:17
好不容易,告五人,华灯初上 影集原声带,04:55
法兰西多士,告五人,我肯定在几百年前就说过爱你,04:14
丑人多作怪,告五人,运气来得若有似无,04:17
The Alcott (feat. Taylor Swift),The National,First Two Pages of Frankenstein,04:27
Cruel Summer,Taylor Swift,Lover,02:58
Love Story,Taylor Swift,Fearless (Platinum Edition),03:56
Blank Space,Taylor Swift,1989 (Deluxe),03:51
Welcome To New York,Taylor Swift,1989 (Deluxe),03:32
Lover,Taylor Swift,Lover,03:41
exile,Taylor Swift,folklore (deluxe version),04:45
You Belong With Me,Taylor Swift,Fearless (Platinum Edition),03:52
Enchanted,Taylor Swift,Speak Now,05:53
Style,Taylor Swift,1989 (Deluxe),03:51
Enemy (from the series Arcane League of Legends),Imagine Dragons,Tonos Bailables Vol. 4,02:53
Bones,Imagine Dragons,Bones,02:45
Shots (Broiler Remix),Imagine Dragons,Shots EP,03:10
Natural,Imagine Dragons,Origins (Deluxe),03:09
Believer,Imagine Dragons,Believer,03:39
Demons,Imagine Dragons,Night Visions,02:57
Thunder,Imagine Dragons,Evolve,03:07
Sharks,Imagine Dragons,Sharks,03:10
Believer,Imagine Dragons,Evolve,03:24
ENEMY (宿敌),Imagine Dragons,ENEMY (宿敌),02:53
mine (Ty Sunderland Remix),Kelly Clarkson,mine (Ty Sunderland Remix),04:01
Catch My Breath,Kelly Clarkson,Catch My Breath,04:10
Because of You,Kelly Clarkson,Breakaway (Limited Edition),03:39
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),03:41
Catch My Breath (Cash Cash Remix),Kelly Clarkson,Catch My Breath Remixes,03:53
You Love Me,Kelly Clarkson,Stronger (Deluxe Version),04:04
Heartbeat Song,Kelly Clarkson,Heartbeat Song,03:18
Long Shot,Kelly Clarkson,All I Ever Wanted,03:36
Catch My Breath (Radio Edit),Kelly Clarkson,Breakaway (Limited Edition),03:08
Hero,Alan Walker,Hero,02:55
Faded,Alan Walker,Different World,03:32
The Spectre,Alan Walker,The Spectre,03:13
Alone (Lost Stories Remix),Lost Stories,Alone (Lost Stories Remix),04:02
On My Way (Explicit),Alan Walker,On My Way (Explicit),03:13
Play,K-391,Play,02:47
All Falls Down,Alan Walker,Different World,03:18
Ignite,K-391,Ignite,03:30
Sing Me to Sleep,Alan Walker,Sing Me to Sleep,03:08
Move Your Body (Alan Walker Remix),Sia,This Is Acting (Deluxe Version),03:37
