_id,album,artist,duration,name
6456332238f2378a5d51bdb6,客厅狂欢,王源,03:24,流星也为你落下来了
6456332238f2378a5d51bdb7,我是唱作人 第4期,王源,04:13,奔赴时间尽头的流萤
6456332238f2378a5d51bdb8,只要有想见的人，就不是孤身一人,杨千嬅,05:48,如果我们不曾相遇
6456332238f2378a5d51bdb9,我要的幸福,孙燕姿,04:31,开始懂了
6456332238f2378a5d51bdba,逆光,孙燕姿,04:49,我怀念的
6456332238f2378a5d51bdbb,The Moment,孙燕姿,03:30,遇见
6456332238f2378a5d51bdbc,未完成,孙燕姿,05:22,我不难过
6456332238f2378a5d51bdbd,孙燕姿同名专辑,孙燕姿,03:56,天黑黑
6456332238f2378a5d51bdbe,克卜勒,孙燕姿,04:09,克卜勒
6456332238f2378a5d51bdbf,逆光,孙燕姿,04:54,逆光
6456332238f2378a5d51bdc0,My Story 2006 新歌+精选,孙燕姿,04:01,雨天
6456332238f2378a5d51bdc1,风筝,孙燕姿,03:13,绿光
6456332238f2378a5d51bdc2,完美的一天,孙燕姿,04:13,第一天
6456332238f2378a5d51bdc3,声生不息·宝岛季 第七期,张信哲,05:03,当爱已成往事 (Live)
6456332238f2378a5d51bdc4,声生不息·宝岛季 第七期,张信哲,04:31,Last Dance (Live)
6456332238f2378a5d51bdc5,这世界那么多人 (电影《我要我们在一起》主题曲),莫文蔚,04:45,这世界那么多人
6456332238f2378a5d51bdc6,我们在中场相遇,莫文蔚,03:40,慢慢喜欢你
6456332238f2378a5d51bdc7,NO.1新曲精选全记录20首,莫文蔚,04:11,盛夏的果实
6456332238f2378a5d51bdc8,就是 莫文蔚,莫文蔚,03:21,忽然之间
6456332238f2378a5d51bdc9,You Can,莫文蔚,04:02,阴天
6456332238f2378a5d51bdca,做自己,莫文蔚,04:08,电台情歌
6456332238f2378a5d51bdcb,做自己,莫文蔚,05:21,广岛之恋
6456332238f2378a5d51bdcc,做自己,莫文蔚,03:59,他不爱我
6456332238f2378a5d51bdcd,自定义,许嵩,04:01,有何不可
6456332238f2378a5d51bdce,自定义,许嵩,04:37,多余的解释
6456332238f2378a5d51bdcf,素颜,许嵩,03:59,素颜
6456332238f2378a5d51bdd0,自定义,许嵩,03:39,清明雨上
6456332238f2378a5d51bdd1,许嵩早期单曲集,许嵩,04:20,玫瑰花的葬礼
6456332238f2378a5d51bdd2,天龙八部之宿敌,许嵩,04:24,天龙八部之宿敌
6456332238f2378a5d51bdd3,寻雾启示,许嵩,04:15,庐州月
6456332238f2378a5d51bdd4,梦游计,许嵩,04:33,幻听
6456332238f2378a5d51bdd5,自定义,许嵩,05:16,如果当时
6456332238f2378a5d51bdd6,许嵩早期单曲集,许嵩,03:47,断桥残雪
6456332238f2378a5d51bdd7,声生不息·宝岛季 第七期,张信哲,05:03,当爱已成往事 (Live)
6456332238f2378a5d51bdd8,声生不息·宝岛季 第七期,张信哲,04:12,遗憾 (Live)
6456332238f2378a5d51bdd9,声生不息·宝岛季 第七期,张信哲,04:31,Last Dance (Live)
6456332238f2378a5d51bdda,宝莲灯 电影原声音乐,张信哲,04:32,爱就一个字
6456332238f2378a5d51bddb,宽容,张信哲,05:16,宽容
6456332238f2378a5d51bddc,宽容,张信哲,05:02,过火
6456332238f2378a5d51bddd,挚爱,张信哲,05:08,用情
6456332238f2378a5d51bdde,永恒金曲 影音典藏精选,张信哲,04:46,别怕我伤心
6456332238f2378a5d51bddf,宽容,张信哲,04:51,信仰
6456332238f2378a5d51bde0,纵横四海,李荣浩,04:17,乌梅子酱
6456332238f2378a5d51bde1,有理想,李荣浩,05:12,不将就
6456332238f2378a5d51bde2,耳朵,李荣浩,04:39,年少有为
6456332238f2378a5d51bde3,模特,李荣浩,05:06,模特
6456332238f2378a5d51bde4,小黄,李荣浩,05:18,老街
6456332238f2378a5d51bde5,麻雀,李荣浩,04:12,麻雀
6456332238f2378a5d51bde6,戒烟,李荣浩,04:53,戒烟
6456332238f2378a5d51bde7,你的婚礼 电影原声带,李荣浩,05:20,不遗憾
6456332238f2378a5d51bde8,模特,李荣浩,04:33,李白
6456332238f2378a5d51bde9,李荣浩,李荣浩,04:21,喜剧之王
6456332238f2378a5d51bdea,说到爱,蔡健雅,04:23,Letting Go
6456332238f2378a5d51bdeb,Goodbye & Hello,蔡健雅,04:09,越来越不懂
6456332238f2378a5d51bdec,若你碰到他,蔡健雅,03:26,红色高跟鞋
6456332238f2378a5d51bded,失语者,蔡健雅,03:41,失语者
6456332238f2378a5d51bdee,Goodbye & Hello,蔡健雅,04:25,达尔文
6456332238f2378a5d51bdef,天使与魔鬼的对话,蔡健雅,03:28,被驯服的象
6456332238f2378a5d51bdf0,OK,张震岳,04:19,思念是一种病
6456332238f2378a5d51bdf1,陌生人,蔡健雅,04:02,无底洞
6456332238f2378a5d51bdf2,T-TIME 新歌+精选,蔡健雅,04:55,Beautiful Love
6456332238f2378a5d51bdf3,Goodbye & Hello,蔡健雅,04:12,空白格
6456332238f2378a5d51bdf4,署前街少年,赵雷,05:29,我记得
6456332238f2378a5d51bdf5,无法长大,赵雷,04:41,鼓楼
6456332238f2378a5d51bdf6,赵小雷,赵雷,05:32,南方姑娘
6456332238f2378a5d51bdf7,无法长大,赵雷,05:28,成都
6456332238f2378a5d51bdf8,吉姆餐厅,赵雷,04:30,我们的时光
6456332238f2378a5d51bdf9,赵小雷,赵雷,03:46,画
